TestTime_s_,Current_A_
458,-1.67737789203085
459,-0.212082262210797
460,-1.67737789203085
461,-0.212082262210797
462,-1.67737789203085
463,-0.944730077120822
464,-1.69665809768638
465,-0.212082262210797
466,-0.212082262210797
467,0.347043701799486
468,0.616966580976864
469,0.115681233933162
470,0.809768637532134
471,0.327763496143959
472,0.57840616966581
473,1.04113110539846
474,0.867609254498715
475,0
476,0.366323907455013
477,0.96401028277635
478,1.17609254498715
479,1.36889460154242
480,0.732647814910026
481,0.404884318766067
482,0.96401028277635
483,1.38817480719794
484,0.713367609254499
485,0.019280205655527
486,0.404884318766067
487,0.347043701799486
488,0.212082262210797
489,0.077120822622108
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,-0.559125964010283
500,-1.73521850899743
501,-2.60282776349614
502,-3.29691516709512
503,-3.33547557840617
504,-2.31362467866324
505,-0.636246786632391
506,0.404884318766067
507,0.404884318766067
508,0.443444730077121
509,0.57840616966581
510,0.269922879177378
511,-0.173521850899743
512,-1.23393316195373
513,-2.02442159383033
514,-2.75706940874036
515,-3.21979434447301
516,-2.50642673521851
517,-1.38817480719794
518,0
519,0.559125964010283
520,0.732647814910026
521,0.674807197943445
522,0.559125964010283
523,0.308483290488432
524,0.077120822622108
525,0.077120822622108
526,0.019280205655527
527,-0.057840616966581
528,-0.983290488431877
529,-1.83161953727506
530,-2.56426735218509
531,-3.25835475578406
532,-3.37403598971722
533,-1.67737789203085
534,-0.482005141388175
535,0.154241645244216
536,0.559125964010283
537,0.751928020565553
538,0.674807197943445
539,0.482005141388175
540,0.19280205655527
541,0.057840616966581
542,0
543,-1.52313624678663
544,-2.10154241645244
545,-2.35218508997429
546,-3.00771208226221
547,-3.25835475578406
548,-3.56683804627249
549,-0.077120822622108
550,0.848329048843188
551,0.886889460154242
552,0.732647814910026
553,0.482005141388175
554,0.289203084832905
555,0.096401028277635
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
