TestTime_s_,Current_A_
278,-3.89181427306054
279,-0.682545265733237
280,-2.00299704889094
281,-1.63262650469985
282,-1.60371421023434
283,-2.875856871608
284,-2.08900216182589
285,-7.5
286,0.399654331517979
287,-7.5
288,-5.09771476786222
289,-7.5
290,-5.34511662531346
291,-3.864365876084
292,-4.95571467725268
293,-2.95271228571995
294,-2.0509402854442
295,0.0186702942825974
296,0.322798771272509
297,0.892627877908174
298,1.48990543997378
299,1.24433366140626
300,-2.41142958637055
301,-2.41142958637055
302,-0.607519579784547
303,1.26336448463874
304,-1.92650758041165
305,-2.68627983884988
306,-1.92650758041165
307,-0.48491666526556
308,-1.87014677206278
309,-2.18305878596543
310,-2.18305878596543
311,-0.446488870529472
312,0.0292836840591958
313,0.0384331549138992
314,0.977535037038349
315,1.50930232379728
316,1.49978691315527
317,1.71864230291838
318,1.69924541714643
319,1.47233851617874
320,1.66118354076474
321,2.85793468746388
322,2.19258499684939
323,2.66835742284056
324,1.88003893052785
325,1.61470432250418
326,1.05439056805711
327,0.883478412898812
328,-0.626550519923842
329,0.264974092712922
330,0.996199912689725
331,1.6897298895976
332,2.96187266787808
333,3.35200604347377
334,1.11916883324322
335,0.712200312107859
336,0.303767862308367
337,0.986684502047712
338,0.90250935108966
339,1.60518879495534
340,0.721715781203283
341,0.000371350624743642
342,0.000371350624743642
343,0.000371350624743642
344,0.000737329380993895
345,0.000371350624743642
346,0.000737329380993895
347,0.000371350624743642
348,0.000737329380993895
349,0.000371350624743642
350,0.000371350624743642
351,5.37771383451452e-06
352,0.000371350624743642
353,0.000371350624743642
354,0.000371350624743642
355,5.37771383451452e-06
356,0.000371350624743642
357,0.000371350624743642
358,-0.626550519923842
359,-1.99348175515575
360,-3.13350591405973
361,-3.79739158638153
362,-4.61352453821024
363,-5.29827134451343
364,-5.22141546472264
365,-5.77221369162087
366,-3.1704698385851
367,-4.08139130387021
368,-3.93975727580014
369,-4.44224643741929
370,-5.90433196027691
371,-3.04713497239896
372,-3.15253673729221
373,-2.45827486717058
374,-2.99955756651998
375,-3.30441818612486
376,-3.72090200099541
377,-1.49026070032286
378,-2.02202810398861
379,-0.806978085724158
380,-0.0947831591239217
381,-1.69008515189512
382,-3.54998996274393
383,-2.78180024746847
384,-1.23334354913643
385,-1.23334354913643
386,-1.23334354913643
387,-1.23370949476908
388,-1.23370949476908
389,-1.4613484039089
390,-2.15414637264465
391,-1.48989475469021
392,-0.901034651410284
393,0.0944279260531053
394,0.977535037038349
395,1.13856571901517
396,0.427468732580575
397,2.86781604373854
398,3.1236352411202
399,3.77983546477688
400,2.76278010951957
401,2.553074067859
402,2.30713622870045
403,1.99459039229566
404,1.16784407602015
405,0.000371350624743642
406,0.000371350624743642
407,0.000371350624743642
408,5.37771383451452e-06
409,0.000371350624743642
410,0.000371350624743642
411,0.000371350624743642
412,5.37771383451452e-06
413,0.000371350624743642
414,-1.5656523319042
415,-2.00336311143042
416,-3.19901618741796
417,-4.35770557269379
418,-5.13541035178769
419,-6.04742977282602
420,-7.5
421,-6.68386705011973
422,-2.21197096547257
423,-5.32571950767631
424,-4.60400924252661
425,-3.50387657515765
426,-1.24322490735954
427,-0.598004169142534
428,0.0194022537435449
429,0.142737137465715
430,0.265340067572279
431,0.702318897379784
432,3.32345969269246
433,3.39994927807857
434,2.87733157128738
435,2.28810540546798
436,1.68058042458824
437,0.000737329380993895
438,0.000371350624743642
439,0.000371350624743642
440,0.000371350624743642
441,0.000371350624743642
442,0.000371350624743642
443,0.000371350624743642
444,0.000737329380993895
445,0.000737329380993895
446,0.000371350624743642
447,5.37771383451452e-06
448,0.000371350624743642
449,0.000371350624743642
450,0.000371350624743642
451,0.000371350624743642
